,Beverage company,Sales in million U.S. dollars
0,Anheuser-Busch InBev,52329
1,Nestlé SA,42115
2,The Coca-Cola Co.,37266
3,PepsiCo Inc.,30894
4,Heineken N.V.,25782
5,Suntory Holdings Ltd.,24225
6,Diageo PLC,23815
7,Starbucks Corp.,23442
8,Keurig Dr Pepper,11120
9,Molson Coors Brewing Co.,10579
10,Pernod Ricard,9959
11,Unilever Group§,9443
12,Constellation Brands Inc.,8884
13,Red Bull GmbH*,8163
14,Abbott§§§,7409
15,Jacobs Douwe Egberts*,6800
16,Bacardi Ltd.*,6348
17,LVMH Louis Vuitton Moet Hennessy,6058
18,E. & J. Gallo Winery*,5000
19,Danone Group^,4937
20,Ito En Group,4725
21,The Wonderful Co.*+,4600
22,Campbell Soup Co.§§,4296
23,Brown-Forman Corp.,4271
24,Monster Beverage Corp.,4201
25,Cott Corp.,2395
26,Niagara Bottling LLC*,2311
27,Mark Anthony Group Inc.++*,2271
28,J. M. Smucker Co.,2122
29,Davide Campari,1997
30,Britvic PLC,1917
31,Treasury Wine Estates,1850
32,C&C Group plc,1703
33,Lassonde Industries Inc.*,1678
34,Blue Diamond Growers+,1566
35,D.G. Yuengling & Son Inc.*,1560
36,Glanbia PLC^^,1476
37,AriZona Beverage Co.*,1324
38,The Boston Beer Co. Inc.,1254
39,The Wine Group*,1127
40,Living Essentials LLC*,1105
41,Tata Consumer Products Ltd.,1010
42,Ocean Spray Cranberries Inc.*,996
43,National Beverage Corp.,978
44,Talking Rain Beverage Co.*,971
45,Vina Concha y Toro S.A.,930
46,Trinchero Family Estates,900
47,Peet's Coffee Inc.*,900
48,Rockstar Inc.*,851
49,Ste. Michelle Wine Estates*,759
