,Month,Percentage change in sales value
0,Aug 20,-5.9%
1,Jul 20,-8%
2,Jun 20,-3.2%
3,May 20,7.5%
4,Apr 20,44.4%
5,Mar 20,24.9%
6,Feb 20,15.3%
7,Jan 20,15.9%
8,Dec 19,64.4%
9,Nov 19,38.7%
10,Oct 19,34.3%
11,Sep 19,24%
12,Aug 19,17.9%
13,Jul 19,23.7%
14,Jun 19,12.7%
15,May 19,-4.2%
16,Apr 19,-16.1%
17,Mar 19,-0.4%
18,Feb 19,-6.6%
19,Jan 19,-3.8%
20,Dec 18,-10.1%
21,Nov 18,-13.3%
22,Oct 18,-9.9%
23,Sep 18,-8%
24,Aug 18,7.5%
25,Jul 18,-1.4%
26,Jun 18,-13.3%
27,May 18,2.4%
28,Apr 18,-3.8%
29,Mar 18,-0.1%
30,Feb 18,-10.7%
31,Jan 18,-9.8%
32,Dec 17,-17.3%
33,Nov 17,-13.5%
34,Oct 17,-12.8%
35,Sep 17,-13%
36,Aug 17,-25.6%
37,Jul 17,-22.2%
38,Jun 17,-9.3%
39,May 17,-14.5%
40,Apr 17,-11.8%
41,Mar 17,-13.5%
42,Feb 17,-8.5%
43,Jan 17,2%
44,Dec 16,8.4%
45,Nov 16,10%
46,Oct 16,13%
47,Sep 16,3.8%
48,Aug 16,17.8%
49,Jul 16,18.6%
50,Jun 16,18.7%
51,May 16,17.1%
52,Apr 16,14.8%
53,Mar 16,24.2%
54,Feb 16,20.4%
55,Jan 16,0.3%
56,Dec 15,7.5%
57,Nov 15,13.3%
58,Oct 15,11.6%
59,Sep 15,22.4%
60,Aug 15,14.1%
