,Brand,2018,2019
0,Super 8,2889,2925
1,Days Inn,1728,1691
2,La Quinta**,914,928
3,Ramada,811,855
4,Baymont,513,525
5,Travelodge,435,450
6,Microtel,343,346
7,Howard Johnson,338,322
8,AmericInn*,204,205
9,Wingate by Wyndham,164,181
10,Wyndham Hotels and Resorts,132,134
11,Wyndham Garden,119,127
12,Hawthorn Suites by Wyndham,110,109
13,Trademark*,84,101
14,Tryp by Wyndham,110,97
15,Ramada Encore,60,71
16,Wyndham Grand,37,49
17,Dolce Hotels and Resorts,20,19
18,Dazzler Hotels,12,13
19,Esplendor Boutique Hotels,10,8
