,Year,Number of families in millions
0,2020,83.68
1,2019,83.48
2,2018,83.09
3,2017,82.83
4,2016,82.18
5,2015,81.72
6,2014,81.35
7,2013,80.9
8,2012,80.51
9,2011,78.61
10,2010,78.83
11,2009,78.85
12,2008,77.87
13,2007,78.43
14,2006,77.4
15,2005,76.86
16,2004,76.22
17,2003,75.6
18,2002,74.33
19,2001,73.77
20,2000,72.03
21,1999,71.54
22,1998,70.88
23,1997,70.24
24,1996,69.59
25,1995,69.31
26,1994,68.49
27,1993,68.14
28,1992,67.17
29,1991,66.32
30,1990,66.09
31,1989,65.84
32,1988,65.13
33,1987,64.49
34,1986,63.56
35,1985,62.71
36,1984,62.0
37,1983,61.39
38,1982,61.02
39,1981,60.31
40,1980,59.55
41,1979,57.8
42,1978,57.22
43,1977,56.71
44,1976,56.25
45,1975,55.71
46,1974,55.05
47,1973,54.37
48,1972,53.3
49,1971,52.23
50,1970,51.59
51,1960,45.11
