,product category,Cost in million GBP
0,Miscellaneous edible preparations,111
1,"Preparations of cereals, flours, starch or milk; pastrycooks' products",105
2,"Beverages, sprits and vinegar",99
3,"Fish and crustaceans, molluscs and other aquatic invertebrates",92
4,"Preparations of vegetables, fruit, nuts or other parts of plants",55
5,Meat and edible meat offal,54
6,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",51
7,"Preparations of meat, fish or crustaceans, molluscs or other aquatic invertebrates",47
8,Sugar and sugar confectionery,31
9,Cocoa and cocoa preparations,28
10,Cereals,22
11,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,21
12,Edible vegetables and certain roots and tubers,18
13,Products of the milling industry; malt; starches; inulin; wheat gluten,16
14,"Edible fruit and nuts, peel of citrus fruits or melons",11
15,Residues and waste from the food industries; prepared animal fodder,5
16,"Coffee, tea, mate and spices",5
17,Live animals,4
