,Year,GDP per capita in U.S. dollars
0,2025*,48734.04
1,2024*,47237.93
2,2023*,45704.66
3,2022*,44221.1
4,2021*,42235.94
5,2020*,39228.52
6,2019,42378.61
7,2018,43114.25
8,2017,40406.62
9,2016,41193.64
10,2015,44989.06
11,2014,47003.88
12,2013,42981.25
13,2012,42023.1
14,2011,41649.66
15,2010,39122.19
16,2009,38601.32
17,2008,47469.38
18,2007,50315.56
19,2006,44403.81
20,2005,41842.7
21,2004,40111.75
22,2003,34302.42
23,2002,29912.99
24,2001,27510.33
25,2000,28043.87
26,1999,28435.06
27,1998,28077.34
28,1997,26647.95
29,1996,24256.46
30,1995,23026.71
31,1994,21344.25
32,1993,19925.66
33,1992,22305.36
34,1991,21671.88
35,1990,20808.23
36,1989,17617.85
37,1988,17364.25
38,1987,14294.99
39,1986,11551.07
40,1985,9491.99
