,Country,Public spending ratio
0,France,56.47%
1,Finland,53.96%
2,Belgium,52.16%
3,Denmark,51.16%
4,Austria,48.98%
5,Italy,48.85%
6,Sweden,48.39%
7,Greece,47.28%
8,Hungary,46.9%
9,Croatia,45.84%
10,Portugal,45.67%
11,Germany,43.93%
12,Luxembourg,43.08%
13,Netherlands,42.56%
14,Poland,41.11%
15,Spain,40.99%
16,Slovak Republic,40.19%
17,Slovenia,39.77%
18,Estonia,39.16%
19,Czech Republic,38.95%
20,United Kingdom,38.41%
21,Latvia,36.42%
22,Malta,35.69%
23,Bulgaria,32.55%
24,Lithuania,32.38%
25,Romania,30.82%
26,Ireland,26.31%
