,Quarter,Market share
0,Q3 '20,15.2%
1,Q2 '20,16.4%
2,Q1 '20,19.7%
3,Q4 '19,17.2%
4,Q3 '19,16.5%
5,Q2 '19,16.9%
6,Q1 '19,16.9%
7,Q4 '18,15.7%
8,Q3 '18,15.9%
9,Q2 '18,16.8%
10,Q1 '18,16%
11,Q4 '17,15%
12,Q3 '17,15.2%
13,Q2 '17,15.6%
14,Q1 '17,15%
15,Q4 '16,14.8%
16,Q3 '16,14.7%
17,Q2 '16,14.7%
18,Q1 '16,14.2%
19,Q4 '15,13.5%
20,Q3 '15,13.5%
21,Q2 '15,14%
22,Q1 '15,12.8%
23,Q4 '14,13.1%
24,Q3 '14,12.7%
25,Q2 '14,13.3%
26,Q1 '14,12.6%
27,Q4 '13,11.8%
28,Q3 '13,11.6%
29,Q2 '13,11.9%
30,Q1 '13,11.2%
31,Q4 '12,10.4%
32,Q3 '12,10.5%
33,Q2 '12,11.3%
34,Q1 '12,11%
35,Q4 '11,12.2%
36,Q3 '11,11.2%
37,Q2 '11,12.1%
38,Q1 '11,11.4%
