,Year,2015,2016
0,Creative Data Lions,619,715
1,Creative Effectiveness Lions,160,109
2,Cyber Lions,3738,2886
3,Design Lions,2409,2857
4,Digital Craft Lions,-,1150
5,Direct Lions,2813,3097
6,Entertainment Lions,1394,1843
7,Entertainment Lions for Music,-,637
8,Film Lions,3070,2801
9,Film Craft Lions,2205,2315
10,Glass: The Lion for Change,166,155
11,Health and Wellness Lions,1430,2024
12,Innovation Lions,226,381
13,Integrated Lions,-,279
14,Media Lions,3179,2986
15,Mobile Lions,1246,1259
16,Outdoor Lions,5037,5365
17,Pharma Lions,432,583
18,PR Lions,1969,2224
19,Print & Publishing Lions,4470,3775
20,Product Design Lions,280,538
21,Promo & Activation Lions,3196,3458
22,Radio Lions,1720,1410
23,Titanium Lions,374,254
24,TOTAL,40133,43101
