,Year,Inflation rate compared to previous year
0,2025*,2.4%
1,2024*,2.2%
2,2023*,1.95%
3,2022*,1.91%
4,2021*,2.27%
5,2020*,3.32%
6,2019,2.31%
7,2018,1.6%
8,2017,1.98%
9,2016,-0.58%
10,2015,-0.93%
11,2014,-0.03%
12,2013,0.9%
13,2012,3.7%
14,2011,4.27%
15,2010,2.58%
16,2009,3.45%
17,2008,4.22%
18,2007,2.49%
19,2006,1.03%
20,2005,2.13%
21,2004,3.49%
22,2003,0.84%
23,2002,1.9%
24,2001,5.5%
25,2000,10.1%
26,1999,7.3%
27,1998,11.8%
28,1997,14.9%
29,1996,19.9%
30,1995,27.88%
31,1994,32.2%
32,1993,35.3%
33,1992,43%
34,1991,70.3%
35,1990,585.8%
36,1989,251.1%
37,1988,60.2%
38,1987,25.23%
39,1986,17.79%
40,1985,15.11%
