,amusement park,Attendance in millions
0,"Tokyo Disneyland, Japan",17.91
1,"Tokyo Disneysea, Japan",14.65
2,"Universal Studios, Japan",14.5
3,Chimelong Ocean Kingdom,11.74
4,"Shanghai Disneyland, China",11.21
5,"Everland, South Korea",6.61
6,"Lotte World, South Korea",5.95
7,"Nagashima Spa Land, Japan",5.95
8,"Ocean Park, Hong Kong",5.7
9,"Hong Kong Disneyland, Hong Kong",5.7
10,"OCT Happy Valley Beijing, China",5.16
11,"Chimelong Paradise, China",4.91
12,Universal Studios Singapore,4.5
13,"China Dinosaur Park, Changzhou, China",4.43
14,"OCT Window of the World, Shenzen, China",3.99
15,"OCT Happy Valley Shenzhen, China",3.98
16,"Zhengzhou Fantawild Adventure, China",3.84
17,"Ningbo Fantawild Oriental Heritage, China",3.58
18,"OCT Happy Valley Chengdu, China",3.58
19,"OCT Happy Valley, Shanghai, China",3.39
