,Response,Percentage of population
0,West Virginia,19.1%
1,Arkansas,17.7%
2,Kentucky,17.4%
3,Maine,16.6%
4,Mississippi,16.5%
5,Alabama,16.3%
6,Oklahoma,16.3%
7,New Mexico,15.8%
8,Louisiana,15.4%
9,Tennessee,15.4%
10,Missouri,14.5%
11,Vermont,14.5%
12,South Carolina,14.4%
13,Michigan,14.2%
14,Pennsylvania,14.1%
15,Rhode Island,14.1%
16,Ohio,14.1%
17,Oregon,14%
18,Kansas,13.7%
19,Indiana,13.6%
20,Florida,13.5%
21,Idaho,13.5%
22,Montana,13.4%
23,Arizona,13.3%
24,North Carolina,13.3%
25,Delaware,13.2%
26,New Hampshire,13%
27,Wyoming,12.8%
28,U.S.,12.6%
29,Washington,12.6%
30,Alaska,12.6%
31,Nevada,12.5%
32,Georgia,12.1%
33,South Dakota,12.1%
34,Virginia,12%
35,Nebraska,11.8%
36,Iowa,11.7%
37,Massachusetts,11.6%
38,Hawaii,11.6%
39,Wisconsin,11.6%
40,District of Columbia,11.6%
41,Texas,11.4%
42,Maryland,11.4%
43,New York,11.4%
44,Illinois,11.1%
45,Minnesota,11%
46,North Dakota,10.9%
47,Connecticut,10.8%
48,Colorado,10.7%
49,California,10.4%
50,New Jersey,10.2%
51,Utah,9.6%
