,State,Revenue in million U.S. dollars
0,Nevada,12031.5
1,New Jersey,3468.63
2,Pennsylvania,3384.39
3,New York,2730.98
4,Louisiana,2459.82
5,Indiana,2247.04
6,Mississippi,2201.33
7,Ohio,1941.49
8,Maryland,1757.06
9,Missouri,1729.49
10,Iowa,1486.79
11,Michigan,1454.27
12,Maine,1451.89
13,Illinois,1354.4
14,Colorado,833.67
15,Massachusetts,718.53
16,Rhode Island,668.43
17,West Virginia,630.04
18,Florida,574.65
19,Delaware,450.81
20,Arkansas,426.49
21,Kansas,416.17
22,New Mexico,244.08
23,Oklahoma,140.85
24,South Dakota,110.28
25,Total,43606.41
