,Year,Inflation rate compared to previous year
0,2025*,2.99%
1,2024*,2.99%
2,2023*,2.99%
3,2022*,3.06%
4,2021*,3.01%
5,2020*,2.8%
6,2019,-0.97%
7,2018,4.04%
8,2017,-0.9%
9,2016,-1.63%
10,2015,4.83%
11,2014,1.68%
12,2013,0.22%
13,2012,7.52%
14,2011,2.03%
15,2010,-2.11%
16,2009,10.1%
17,2008,8.33%
18,2007,-7.44%
19,2006,9.64%
20,2005,4.45%
21,2004,-4.8%
22,2003,-1.75%
23,2002,5.19%
24,2001,12.43%
25,2000,3.82%
26,1999,-8.45%
27,1998,4.26%
28,1997,5.57%
29,1996,11.33%
30,1995,5.36%
31,1994,41.27%
32,1993,-10.87%
33,1992,-3.8%
34,1991,4.2%
35,1990,0.5%
36,1989,-4.9%
37,1988,14.9%
38,1987,-2.73%
39,1986,-13.05%
40,1985,5.07%
