,Response,Percentage of adults
0,West Virginia,43.8%
1,Mississipi,43.6%
2,Alabama,42.5%
3,Arkansas,41%
4,Kentucky,40.9%
5,Louisiana,39.7%
6,Tennessee,39.3%
7,South Carolina,38.3%
8,Oklahoma,37.8%
9,Delaware,36.4%
10,Maine,36.2%
11,Michigan,35.1%
12,North Carolina,35.1%
13,Georgia,34.8%
14,Indiana,34.8%
15,Ohio,34.5%
16,Maryland,34.3%
17,Virginia,33.6%
18,Kansas,33.5%
19,Florida,33.5%
20,Pennsylvania,33.3%
21,Rhode Island,33%
22,Nevada,32.8%
23,Alaska,32.8%
24,Arizona,32.5%
25,Illinois,32.2%
26,Iowa,31.8%
27,Texas,31.7%
28,New Mexico,31.6%
29,New Hampshire,31.5%
30,Wisconsin,31%
31,Nebraska,31%
32,South Dakota,30.9%
33,Missouri,30.9%
34,Connecticut,30.9%
35,Wyoming,30.7%
36,Hawaii,30.7%
37,Oregon,30.6%
38,Idaho,30.6%
39,Washington,30.3%
40,Vermont,30.2%
41,North Dakota,29.8%
42,New York,29.6%
43,Montana,29.5%
44,Minnesota,28.7%
45,Massachusetts,28.1%
46,D.C.,27.2%
47,California,27%
48,Utah,25.8%
49,Colorado,25.8%
