,Year,Gross domestic product in billion U.S. dollars
0,2024*,469.04
1,2023*,455.73
2,2022*,443.84
3,2021*,432.97
4,2020*,422.06
5,2019*,417.63
6,2018,434.17
7,2017,398.39
8,2016,368.83
9,2015,385.8
10,2014,498.41
11,2013,523.5
12,2012,510.23
13,2011,498.83
14,2010,429.13
15,2009,386.62
16,2008,462.55
17,2007,401.09
18,2006,345.42
19,2005,308.72
20,2004,264.36
21,2003,228.75
22,2002,195.42
23,2001,174.0
24,2000,171.32
25,1999,162.29
26,1998,154.17
27,1997,161.35
28,1996,163.52
29,1995,152.03
30,1994,127.13
31,1993,120.58
32,1992,130.84
33,1991,121.87
34,1990,119.79
35,1989,102.63
36,1988,101.9
37,1987,94.23
38,1986,78.69
39,1985,65.42
40,1984,62.06
