,Month,Average weekly sales in thousand GBP
0,Oct 20,3270951
1,Sep 20,3220120
2,Aug 20,3228567
3,Jul 20,3266489
4,Jun 20,3370409
5,Apr 20,3202789
6,Mar 20,3298572
7,Feb 20,2948087
8,Jan 20,2828689
9,Dec 19,3503230
10,Nov 19,3096732
11,Oct 19,3024376
12,Sep 19,2970763
13,Aug 19,2999785
14,Jul 19,3090958
15,Jun 19,3032042
16,May 19,3063816
17,Apr 19,3063131
18,Mar 19,2965997
19,Feb 19,2882405
20,Jan 19,2776369
21,Dec 18,3490843
22,Nov 18,3089320
23,Oct 18,2976035
24,Sep 18,2913207
25,Aug 18,2973218
26,Jul 18,3081052
27,Jun 18,3033997
28,May 18,3058712
29,Apr 18,2867202
30,Mar 18,2972212
31,Feb 18,2837555
32,Jan 18,2687585
33,Dec 17,3468083
34,Nov 17,3046392
35,Oct 17,2933214
36,Sep 17,2868994
37,Aug 17,2897861
38,Jul 17,2967157
39,Jun 17,2933167
40,May 17,2979548
41,Apr 17,2992112
42,Mar 17,2884638
43,Feb 17,2839535
44,Jan 17,2714097
45,Dec 16,3452487
46,Nov 16,3084751
47,Oct 16,2970608
48,Sep 16,2905913
49,Aug 16,2923317
50,Jul 16,2975788
51,Jun 16,2954375
52,May 16,2977933
53,Apr 16,2869082
54,Mar 16,2908143
55,Feb 16,2812009
56,Jan 16,2721742
57,Dec 15,3337804
58,Nov 15,2995833
59,Oct 15,2828189
60,Sep 15,2828488
61,Aug 15,2764200
62,Jul 15,2854905
63,Jun 15,2870738
64,May 15,2872749
65,Apr 15,2745762
66,Mar 15,2852785
67,Feb 15,2713632
68,Jan 15,2647216
69,Dec 14,3234192
70,Nov 14,2962769
71,Oct 14,2790527
72,Sep 14,2729971
73,Aug 14,2742352
74,Jul 14,2821611
75,Jun 14,2826132
76,May 14,2808040
