,Month,Market share
0,Dec 20,5.64%
1,Nov 20,6.87%
2,Oct 20,7.72%
3,Sep 20,7.17%
4,Aug 20,6%
5,Jul 20,5.86%
6,Jun 20,6.58%
7,May 20,9.89%
8,Apr 20,5.92%
9,Mar 20,6.67%
10,Feb 20,7.22%
11,Jan 20,7.46%
12,Dec 19,6.46%
13,Nov 19,6.64%
14,Oct 19,7.9%
15,Sep 19,8.86%
16,Aug 19,5.44%
17,Jul 19,7.67%
18,Jun 19,6.69%
19,May 19,7.85%
20,Apr 19,7.29%
21,Mar 19,7.32%
22,Feb 19,7.43%
23,Jan 19,7.61%
24,Dec 18,7.89%
25,Nov 18,7.18%
26,Oct 18,7.63%
27,Sep 18,8.9%
28,Aug 18,5.17%
29,Jul 18,6.95%
30,Jun 18,6.35%
31,May 18,6.95%
32,Apr 18,7.06%
33,Mar 18,7%
34,Feb 18,7.53%
35,Jan 18,7.27%
36,Dec 17,6.84%
37,Nov 17,7.38%
38,Oct 17,7.67%
39,Sep 17,7.37%
40,Aug 17,6.2%
41,Jul 17,7.17%
42,Jun 17,6.46%
43,May 17,7.87%
44,Apr 17,8.78%
45,Mar 17,6.35%
46,Feb 17,7.34%
47,Jan 17,7.47%
