,Month,Percentage change**
0,Mar 19,12.4%
1,Feb 19,11.8%
2,Jan 19,11.6%
3,Dec 18,13.3%
4,Nov 18,13%
5,Oct 18,12.9%
6,Sep 18,12%
7,Aug 18,14.2%
8,Jul 18,16.1%
9,Jun 18,15.8%
10,May 18,21%
11,Apr 18,13%
12,Mar 18,16.5%
13,Feb 18,15.3%
14,Jan 18,13.6%
15,Dec 17,9%
16,Nov 17,10.1%
17,Oct 17,9.6%
18,Sep 17,13.6%
19,Aug 17,19%
20,Jul 17,20.1%
21,Jun 17,20.1%
22,May 17,17.1%
23,Apr 17,22.1%
24,Mar 17,24.3%
25,Feb 17,22.2%
26,Jan 17,16.1%
27,Dec 16,30.1%
28,Nov 16,28.4%
29,Oct 16,30%
30,Sep 16,25.8%
31,Aug 16,23.6%
32,Jul 16,17.8%
33,Jun 16,17.2%
34,May 16,19.6%
35,Apr 16,12.9%
36,Mar 16,11.6%
37,Feb 16,12.4%
38,Jan 16,13.8%
39,Dec 15,8.4%
40,Nov 15,14.9%
41,Oct 15,11.6%
42,Sep 15,14.4%
43,Aug 15,8.7%
44,Jul 15,13.2%
45,Jun 15,13.9%
46,May 15,9.4%
47,Apr 15,14.3%
48,Mar 15,12.5%
49,Feb 15,11.4%
50,Jan 15,19.3%
51,Dec 14,11.1%
52,Nov 14,19.7%
53,Oct 14,12%
54,Sep 14,10.1%
55,Aug 14,13.7%
56,Jul 14,14.8%
57,Jun 14,15%
58,May 14,16.6%
59,Apr 14,15%
60,Mar 14,9.1%
61,Feb 14,11.9%
62,Jan 14,11%
63,Dec 13,13.5%
64,Nov 13,17.5%
65,Oct 13,17.8%
66,Sep 13,17.4%
67,Aug 13,21.7%
68,Jul 13,10.2%
69,Jun 13,18.1%
70,May 13,10.7%
71,Apr 13,13.9%
72,Mar 13,18.8%
73,Feb 13,12.9%
74,Jan 13,12.8%
