,Year,GDP per capita in U.S. dollars
0,2025*,2233.43
1,2024*,2083.75
2,2023*,1937.86
3,2022*,1803.11
4,2021*,1680.02
5,2020*,1571.92
6,2019*,1620.47
7,2018,1504.26
8,2017,1385.93
9,2016,1270.98
10,2015,1165.06
11,2014,1093.8
12,2013,1009.34
13,2012,945.7
14,2011,877.64
15,2010,781.91
16,2009,734.66
17,2008,741.86
18,2007,627.78
19,2006,536.15
20,2005,470.68
21,2004,405.63
22,2003,360.66
23,2002,337.5
24,2001,320.05
25,2000,299.98
26,1999,293.7
27,1998,267.86
28,1997,302.17
29,1996,316.19
30,1995,319.54
