,Year,Inflation rate compared to previous year
0,2024*,6.5%
1,2023*,6.5%
2,2022*,6.5%
3,2021*,6.5%
4,2020*,8.93%
5,2019*,4.22%
6,2018*,9.29%
7,2017,28.47%
8,2016,25.88%
9,2015,9.84%
10,2014,2.43%
11,2013,2.59%
12,2012,6.07%
13,2011,15.9%
14,2010,2.46%
15,2009,2.45%
16,2008,10.4%
17,2007,6.21%
18,2006,1.47%
19,2005,2.66%
20,2004,1.25%
21,2003,-2.06%
22,2002,-9.86%
23,2001,-8.84%
24,2000,-2.91%
25,1999,2.57%
26,1998,3.72%
27,1997,3.59%
28,1996,4%
29,1995,8.34%
30,1994,10.67%
31,1993,7.47%
32,1992,9.45%
33,1991,11.7%
34,1990,0.72%
35,1989,4.46%
36,1988,3.13%
37,1987,4.42%
38,1986,3.38%
39,1985,9.11%
40,1984,12.44%
