,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,2%
3,2022*,1.14%
4,2021*,0.16%
5,2020*,-0.83%
6,2019,-0.36%
7,2018,0.76%
8,2017,0.88%
9,2016,0.74%
10,2015,0.14%
11,2014,2.62%
12,2013,4.03%
13,2012,5.7%
14,2011,5.88%
15,2010,3.49%
16,2009,2.41%
17,2008,8.76%
18,2007,4.17%
19,2006,2.46%
20,2005,2.86%
21,2004,0.48%
22,2003,0.06%
23,2002,1%
24,2001,0.31%
25,2000,1.45%
26,1999,1.3%
27,1998,0.63%
28,1997,1.26%
29,1996,1.26%
30,1995,0.94%
31,1994,1.33%
32,1993,0.48%
33,1992,1.75%
34,1991,1.55%
35,1990,0.77%
36,1989,0.12%
37,1988,0.36%
38,1987,1%
39,1986,-0.07%
40,1985,1.03%
