,State,Births,Deaths
0,Alabama,58941,53238
1,Alaska,10445,4411
2,Arizona,81872,57758
3,Arkansas,37520,32588
4,California,471658,268189
5,Colorado,64382,38063
6,Connecticut,35221,31312
7,Delaware,10855,9178
8,District of Columbia,9560,4965
9,Florida,223630,203636
10,Georgia,129243,83098
11,Hawaii,17517,11390
12,Idaho,22181,14011
13,Illinois,149390,109721
14,Indiana,82170,65597
15,Iowa,38430,30530
16,Kansas,36519,27063
17,Kentucky,54752,48212
18,Louisiana,61018,45804
19,Maine,12298,14676
20,Maryland,71641,49926
21,Massachusetts,70702,58803
22,Michigan,111426,97602
23,Minnesota,68595,44371
24,Mississippi,37357,32280
25,Missouri,73034,61876
26,Montana,11799,10200
27,Nebraska,25821,16878
28,Nevada,35756,24657
29,New Hampshire,12116,12504
30,New Jersey,101250,74846
31,New Mexico,23767,18673
32,New York,229737,155358
33,North Carolina,120125,93157
34,North Dakota,10737,6415
35,Ohio,136832,123648
36,Oklahoma,50214,40452
37,Oregon,43631,36656
38,Pennsylvania,137745,135656
39,Rhode Island,10638,10157
40,South Carolina,57029,49441
41,South Dakota,12134,7996
42,Tennessee,81016,70096
43,Texas,382050,198106
44,Utah,48585,18035
45,Vermont,5655,6007
46,Virginia,100391,68579
47,Washington,87562,56995
48,West Virginia,18675,23276
49,Wisconsin,64975,52681
50,Wyoming,6903,4768
