,State,Population
0,California,826521
1,Texas,600693
2,New York,568613
3,Florida,429975
4,Pennsylvania,421745
5,Ohio,317286
6,Illinois,296807
7,North Carolina,280891
8,Georgia,266840
9,Massachusetts,246195
10,Virginia,244897
11,Michigan,223499
12,Indiana,190079
13,New Jersey,180487
14,Missouri,174478
15,Arizona,161893
16,Tennessee,158077
17,Washington,147820
18,Wisconsin,143849
19,Maryland,140499
20,South Carolina,133728
21,Kentucky,132667
22,Minnesota,130567
23,Louisiana,128857
24,Colorado,119141
25,Alabama,116625
26,Connecticut,110867
27,Oklahoma,110059
28,Iowa,96609
29,Mississippi,93382
30,Oregon,89211
31,Arkansas,84011
32,Kansas,80546
33,Nebraska,51012
34,Utah,48364
35,West Virginia,46910
36,Hawaii,42918
37,New Mexico,42907
38,New Hampshire,41073
39,Rhode Island,40901
40,District of Columbia,38858
41,Nevada,37663
42,Maine,37206
43,Puerto Rico,35370
44,South Dakota,34018
45,Idaho,30331
46,Montana,28943
47,Alaska,26673
48,Vermont,25701
49,Delaware,24895
50,North Dakota,24335
51,Wyoming,14240
