,Month,Exchange rate
0,Nov 2020,87.86
1,Oct 2020,86.59
2,Sep 2020,86.73
3,Aug 2020,88.23
4,Jul 2020,85.88
5,Jun 2020,85.22
6,May 2020,82.5
7,Apr 2020,82.79
8,Mar 2020,82.44
9,Feb 2020,77.98
10,Jan 2020,79.13
11,Dec 2019,79.11
12,Nov 2019,78.98
13,Oct 2019,78.52
14,Sep 2019,78.57
15,Aug 2019,79.19
16,Jul 2019,77.13
17,Jun 2019,78.41
18,May 2019,78.08
19,Apr 2019,78.0
20,Mar 2019,78.56
21,Feb 2019,80.86
22,Jan 2019,80.8
23,Dec 2018,80.62
24,Nov 2018,81.56
25,Oct 2018,84.54
26,Sep 2018,84.21
27,Aug 2018,80.43
28,Jul 2018,80.3
29,Jun 2018,79.16
30,May 2018,79.79
31,Apr 2018,80.65
32,Mar 2018,80.25
33,Feb 2018,79.56
34,Jan 2018,77.66
35,Dec 2017,76.07
36,Nov 2017,76.12
37,Oct 2017,76.5
38,Sep 2017,76.8
39,Aug 2017,75.55
40,Jul 2017,74.19
41,Jun 2017,72.38
42,May 2017,71.27
43,Apr 2017,69.2
44,Mar 2017,70.32
45,Feb 2017,71.29
46,Jan 2017,72.28
47,Dec 2016,71.54
48,Nov 2016,73.06
49,Oct 2016,73.58
50,Sep 2016,74.82
51,Aug 2016,75.03
52,Jul 2016,74.37
53,Jun 2016,75.56
54,May 2016,75.7
55,Apr 2016,75.38
56,Mar 2016,74.3
57,Feb 2016,75.72
58,Jan 2016,73.2
59,Dec 2015,72.39
60,Nov 2015,71.04
61,Oct 2015,73.11
62,Sep 2015,74.3
63,Aug 2015,72.54
64,Jul 2015,70.0
65,Jun 2015,71.59
66,May 2015,71.12
67,Apr 2015,67.64
68,Mar 2015,67.74
69,Feb 2015,70.44
70,Jan 2015,72.21
71,Dec 2014,77.38
72,Nov 2014,76.96
73,Oct 2014,77.79
74,Sep 2014,78.57
75,Aug 2014,81.07
76,Jul 2014,81.31
77,Jun 2014,81.2
78,May 2014,81.43
79,Apr 2014,83.36
80,Mar 2014,84.3
81,Feb 2014,84.95
82,Jan 2014,84.51
83,Dec 2013,84.76
84,Nov 2013,84.5
85,Oct 2013,84.01
86,Sep 2013,85.27
87,Aug 2013,83.95
88,Jul 2013,78.18
89,Jun 2013,77.03
90,May 2013,71.48
91,Apr 2013,70.77
92,Mar 2013,70.56
93,Feb 2013,71.93
94,Jan 2013,72.07
95,Dec 2012,71.69
96,Nov 2012,70.33
97,Oct 2012,68.86
98,Sep 2012,70.05
99,Aug 2012,68.86
100,Jul 2012,68.11
101,Jun 2012,70.17
102,May 2012,69.64
103,Apr 2012,68.19
104,Mar 2012,66.54
105,Feb 2012,65.06
106,Jan 2012,66.06
107,Dec 2011,69.21
108,Nov 2011,68.83
109,Oct 2011,67.55
110,Sep 2011,65.6
111,Aug 2011,65.07
112,Jul 2011,63.35
113,Jun 2011,64.52
114,May 2011,64.47
115,Apr 2011,64.11
116,Mar 2011,62.95
117,Feb 2011,62.01
118,Jan 2011,60.72
119,Dec 2010,59.65
120,Nov 2010,61.45
121,Oct 2010,61.74
122,Sep 2010,60.08
123,Aug 2010,60.06
124,Jul 2010,59.81
125,Jun 2010,56.86
126,May 2010,57.62
127,Apr 2010,59.62
128,Mar 2010,61.74
129,Feb 2010,63.43
130,Jan 2010,65.54
131,Dec 2009,68.09
132,Nov 2009,69.44
133,Oct 2009,69.22
134,Sep 2009,70.42
135,Aug 2009,68.96
136,Jul 2009,68.23
137,Jun 2009,66.92
138,May 2009,66.18
139,Apr 2009,66.05
140,Mar 2009,66.8
141,Feb 2009,62.88
142,Jan 2009,64.51
143,Dec 2008,65.15
144,Nov 2008,62.14
145,Oct 2008,64.59
146,Sep 2008,65.41
147,Aug 2008,64.32
