,NCAA Final Four game,Points scored
0,"Bill Bradley - Princeton vs. Wichita St., 1965",58
1,"Hal Lear - Temple vs. SMU, 1956",48
2,"Bill Walton - UCLA vs. Memphis, 1973",44
3,"Bob Houbregs - Washington vs. LSU, 1953",42
4,"Gail Goodrich - UCLA vs. Michigan, 1965",42
5,"Jack Givens - Kentucky vs. Duke, 1978",41
6,"Oscar Robertson - Cincinnati vs. Louisville, 1959",39
7,"Al Wood - North Carolina vs. Virginia, 1981",39
8,"Jerry West - West Virginia vs. Louisville, 1959",38
9,"Jerry Chambers - Utah vs. UTEP, 1966",38
10,"Freddie Banks - UNLV vs. Indiana, 1987",38
