,Month,Consumer price index (2015 = 100)
0,May 2020,111.48
1,Apr 2020,111.01
2,Mar 2020,110.93
3,Feb 2020,110.87
4,Jan 2020,109.31
5,Dec 2019,109.86
6,Nov 2019,110.28
7,Oct 2019,110.39
8,Sep 2019,110.06
9,Aug 2019,110.89
10,Jul 2019,109.92
11,Jun 2019,110.9
12,May 2019,110.12
13,Apr 2019,107.75
14,Mar 2019,108.23
15,Feb 2019,108.79
16,Jan 2019,109.73
17,Dec 2018,105.31
18,Nov 2018,106.14
19,Oct 2018,107.39
20,Sep 2018,107.19
21,Aug 2018,107.97
22,Jul 2018,107.71
23,Jun 2018,109.33
24,May 2018,108.39
25,Apr 2018,108.71
26,Mar 2018,109.04
27,Feb 2018,109.67
28,Jan 2018,108.56
