,Year,GDP per capita in U.S. dollars
0,2024*,2846.76
1,2023*,2628.01
2,2022*,2426.07
3,2021*,2239.62
4,2020*,2067.54
5,2019*,1905.72
6,2018*,1749.33
7,2017*,1605.99
8,2016*,1458.85
9,2015*,1303.18
10,2014*,1163.04
11,2013,1030.03
12,2012,916.03
13,2011,857.5
14,2010,807.53
15,2009,728.39
16,2008,655.95
17,2007,584.5
18,2006,523.03
19,2005,495.49
20,2004,485.66
21,2003,454.1
22,2002,419.69
23,2001,406.41
24,2000,412.33
25,1999,415.37
26,1998,407.35
27,1997,402.89
28,1996,393.53
29,1995,383.1
30,1994,353.91
31,1993,332.77
32,1992,324.43
33,1991,331.73
34,1990,329.49
35,1989,324.93
36,1988,302.59
37,1987,287.84
38,1986,267.98
39,1985,262.55
40,1984,262.12
