,State,Number of stores
0,California,174
1,Texas,115
2,New York,98
3,Florida,96
4,New Jersey,92
5,Illionois,47
6,Virginia,47
7,Ohio,45
8,North Carolina,44
9,Massachusetts,44
10,Michigan,42
11,Georgia,39
12,Pennsylvania,39
13,Arizona,38
14,Washington,36
15,Colorado,34
16,Tennessee,26
17,Connecticut,25
18,Alabama,23
19,South Carolina,23
20,Missouri,22
21,Indiana,22
22,Maryland,22
23,Louisiana,20
24,Oregon,17
25,Nevada,15
26,New Hampshire,15
27,Minnesota,14
28,Utah,14
29,Wisconsin,14
30,Kansas,12
31,Kentucky,11
32,Oklahoma,11
33,New Mexico,9
34,Montana,9
35,Iowa,9
36,Idaho,9
37,Nebraska,8
38,Maine,8
39,Arkansas,8
40,Mississippi,7
41,Delaware,6
42,Rhode Island,5
43,South Dakota,3
44,Vermont,3
45,West Virginia,3
46,North Dakota,3
47,Wyoming,2
48,Hawaii,1
49,Alaska,1
