,Country,Number of admitted Syrian refugees
0,Turkey,3576370
1,Lebanon,910586
2,Jordan,654692
3,Germany,572818
4,Iraq,245810
5,Egypt,129210
6,Sweden,113418
7,Sudan,93495
8,Austria,51955
9,Netherlands,31694
10,Greece,26696
11,Denmark,20046
12,Switzerland,18755
13,France,18244
14,Bulgaria,17551
15,Belgium,16604
16,Armenia,14730
17,Norway,14359
18,Spain,14133
19,United Kingdom of Great Britain and Northern Ireland,10389
20,United States of America,8449
21,Algeria,7757
22,Cyprus,7372
23,Italy,4781
24,Brazil,3761
