,Response,Share of GDP
0,"Mining, quarrying, and oil and gas extraction",16.12%
1,Real estate and rental and leasing,11.74%
2,Construction,8.81%
3,Manufacturing,8.08%
4,Health care and social assistance,6.83%
5,Transportation and warehousing,5.74%
6,"Professional, scientific and technical services",5.43%
7,Public administration,5.42%
8,Wholesale trade,4.6%
9,Finance and insurance,4.55%
10,Retail trade,4.42%
11,Educational services,4.11%
12,"Administrative and support, waste management and remediation services",2.84%
13,Accommodation and food services,2.28%
14,Other services (except public administration),2.11%
15,Information and cultural industries,1.91%
16,Utilities,1.9%
17,"Agriculture, forestry, fishing and hunting",1.77%
18,Management of companies and enterprises,0.73%
19,"Arts, entertainment and recreation",0.61%
