,Year,Gross domestic product in billion international dollars
0,2021*,0.89
1,2020*,0.83
2,2019*,0.85
3,2018,0.81
4,2017,0.77
5,2016,0.73
6,2015,0.69
7,2014,0.69
8,2013,0.66
9,2012,0.64
10,2011,0.61
11,2010,0.59
12,2009,0.58
13,2008,0.55
14,2007,0.51
15,2006,0.47
16,2005,0.42
17,2004,0.39
18,2003,0.36
19,2002,0.34
20,2001,0.36
21,2000,0.36
22,1999,0.33
23,1998,0.33
24,1997,0.32
25,1996,0.3
26,1995,0.29
27,1994,0.28
28,1993,0.25
29,1992,0.24
30,1991,0.23
31,1990,0.22
32,1989,0.19
33,1988,0.18
34,1987,0.17
35,1986,0.18
36,1985,0.17
37,1984,0.17
