,Year,Gross domestic product in billion international dollars
0,2021*,38.81
1,2020*,35.21
2,2019*,34.66
3,2018,32.19
4,2017,29.37
5,2016,27.45
6,2015,25.71
7,2014,24.38
8,2013,22.46
9,2012,20.91
10,2011,18.55
11,2010,17.75
12,2009,16.18
13,2008,15.77
14,2007,14.35
15,2006,13.56
16,2005,12.43
17,2004,11.25
18,2003,10.92
19,2002,10.46
20,2001,9.83
21,2000,8.98
22,1999,8.88
23,1998,8.76
24,1997,7.88
25,1996,7.63
26,1995,7.47
27,1994,7.15
28,1993,6.88
29,1992,6.7
30,1991,6.42
31,1990,6.22
32,1989,6.07
33,1988,5.79
34,1987,5.23
35,1986,5.1
36,1985,4.7
37,1984,4.23
