,Year,Residents per square mile of land area
0,2019 (July 1)*,92.9
1,2010 (April 1),87.4
2,2000 (April 1),79.6
3,1990 (April 1),70.3
4,1980 (April 1),64.0
5,1970 (April 1),57.5
6,1960 (April 1),50.6
7,1950 (April 1),42.6
8,1940 (April 1),37.2
9,1930 (April 1),34.7
10,1920 (January 1),29.9
11,1910 (April 15),26.0
12,1900 (June 1),21.5
13,1890 (June 1),17.8
14,1880 (June 1),14.2
15,1870 (June 1),11.2
16,1860 (June 1),10.6
17,1850 (June 1),7.9
18,1840 (June 1),9.8
19,1830 (June 1),7.4
20,1820 (August 7),5.5
21,1810 (August 6),4.3
22,1800 (August 4),6.1
23,1790 (August 2),4.5
