,baseball team,Average player age in years
0,Washington Nationals,30.1
1,Oakland Athletics,28.7
2,Houston Astros,29.0
3,Chicago Cubs,28.9
4,Atlanta Braves,28.9
5,New York Yankees,29.0
6,Milwaukee Brewers,28.8
7,San Francisco Giants,29.7
8,New York Mets,29.3
9,St. Louis Cardinals,28.7
10,Minnesota Twins,29.7
11,Tampa Bay Rays,28.0
12,Boston Red Sox,28.6
13,Chicago White Sox,28.4
14,Los Angeles Dodgers,28.0
15,Seattle Mariners,26.9
16,Miami Marlins,28.0
17,Cleveland Indians,28.5
18,Texas Rangers,29.6
19,Los Angeles Angels,28.5
20,Colorado Rockies,27.6
21,Pittsburgh Pirates,27.8
22,Cincinnati Reds,28.6
23,Philadelphia Phillies,28.9
24,Kansas City Royals,28.0
25,Arizona Diamondbacks,28.8
26,Toronto Blue Jays,27.9
27,Detroit Tigers,27.6
28,San Diego Padres,26.7
29,Baltimore Orioles,27.4
