,Year,Gross domestic product in billion international dollars
0,2021*,41.8
1,2020*,39.58
2,2019*,39.81
3,2018,37.84
4,2017,36.63
5,2016,35.78
6,2015,34.68
7,2014,33.04
8,2013,31.07
9,2012,28.93
10,2011,26.97
11,2010,24.67
12,2009,22.95
13,2008,23.31
14,2007,22.47
15,2006,20.58
16,2005,20.37
17,2004,19.91
18,2003,19.17
19,2002,18.51
20,2001,18.18
21,2000,17.42
22,1999,17.37
23,1998,18.8
24,1997,17.97
25,1996,16.7
26,1995,15.83
27,1994,14.77
28,1993,13.94
29,1992,13.1
30,1991,13.22
31,1990,12.05
32,1989,11.05
33,1988,9.21
34,1987,8.59
35,1986,9.91
36,1985,9.93
37,1984,9.09
