,Quarter,Percent change from preceding period
0,Q3 '20,33.4%
1,Q2 '20,-31.4%
2,Q1 '20,-5%
3,Q4 '19,2.4%
4,Q3 '19,2.6%
5,Q2 '19,1.5%
6,Q1 '19,2.9%
7,Q4 '18,1.3%
8,Q3 '18,2.1%
9,Q2 '18,2.7%
10,Q1 '18,3.8%
11,Q4 '17,3.5%
12,Q3 '17,3.2%
13,Q2 '17,2.2%
14,Q1 '17,2.3%
15,Q4 '16,2%
16,Q3 '16,2.2%
17,Q2 '16,1.9%
18,Q1 '16,2%
19,Q4 '15,0.1%
20,Q3 '15,1.3%
21,Q2 '15,3%
22,Q1 '15,3.2%
23,Q4 '14,2.3%
24,Q3 '14,5%
25,Q2 '14,5.5%
26,Q1 '14,-1.1%
27,Q4 '13,3.2%
28,Q3 '13,3.2%
29,Q2 '13,0.5%
30,Q1 '13,3.6%
31,Q4 '12,0.5%
32,Q3 '12,0.5%
33,Q2 '12,1.7%
34,Q1 '12,3.2%
35,Q4 '11,4.7%
36,Q3 '11,-0.1%
37,Q2 '11,2.9%
38,Q1 '11,-1%
