,Baseball player,Number of games played
0,Pete Rose,3562
1,Carl Yastrzemski,3308
2,Hank Aaron,3298
3,Rickey Henderson,3081
4,Ty Cobb,3034
5,Eddie Murray,3026
6,Stan Musial,3026
7,Cal Ripken,3001
8,Willie Mays,2992
9,Barry Bonds,2986
10,Dave Winfield,2973
11,Omar Vizquel,2968
12,Rusty Staub,2951
13,Adrian Beltre,2933
14,Brooks Robinson,2896
15,Albert Pujols,2862
16,Robin Yount,2856
17,Craig Biggio,2850
18,Al Kaline,2834
19,Rafael Palmeiro,2831
20,Harold Baines,2830
21,Eddie Collins,2826
22,Reggie Jackson,2820
23,Frank Robinson,2808
24,Honus Wagner,2794
25,Tris Speaker,2789
26,Alex Rodriguez,2784
27,Tony Perez,2777
28,Derek Jeter,2747
29,Mel Ott,2730
