,Month,Number of cases
0,Dec 20,2
1,Dec 19,727
2,Dec 18,2703
3,Dec 17,2734
4,Dec 16,2844
5,Dec 15,3225
6,Dec 14,3831
7,Dec 13,739
8,Dec 12,1578
9,Dec 11,2873
10,Dec 10,2667
11,Dec 9,2727
12,Dec 8,2715
13,Dec 7,3353
14,Dec 6,592
15,Dec 5,1098
16,Dec 4,2549
17,Dec 3,2364
18,Dec 2,2611
19,Dec 1,2674
20,Nov 30,3289
21,Nov 29,560
22,Nov 28,1004
23,Nov 27,2696
24,Nov 26,2395
25,Nov 25,2665
26,Nov 24,2863
27,Nov 23,3950
28,Nov 22,589
29,Nov 21,1263
30,Nov 20,3081
31,Nov 19,2939
32,Nov 18,3563
33,Nov 17,4683
34,Nov 16,5687
35,Nov 15,1035
36,Nov 14,2301
37,Nov 13,5579
38,Nov 12,6398
39,Nov 11,1945
40,Nov 10,7569
41,Nov 9,8533
42,Nov 8,1447
43,Nov 7,3044
44,Nov 6,6638
45,Nov 5,7646
46,Nov 4,9205
47,Nov 3,12091
48,Nov 2,13850
49,Nov 1,2665
50,Oct 31,6308
51,Oct 30,15390
52,Oct 29,15079
53,Oct 28,17986
54,Oct 27,22184
55,Oct 26,19858
56,Oct 25,4893
57,Oct 24,11554
58,Oct 23,18875
59,Oct 22,17685
60,Oct 21,17481
61,Oct 20,19260
62,Oct 19,15559
63,Oct 18,4289
64,Oct 17,7992
65,Oct 16,13468
66,Oct 15,11806
67,Oct 14,12281
68,Oct 13,12565
69,Oct 12,9728
70,Oct 11,2402
71,Oct 10,4307
72,Oct 9,7783
73,Oct 8,6583
74,Oct 7,6790
75,Oct 6,5686
76,Oct 5,5245
77,Oct 4,1035
78,Oct 3,1708
79,Oct 2,3721
80,Oct 1,1337
81,Sep 30,1762
82,Sep 29,1774
83,Sep 28,1376
84,Sep 27,1827
85,Sep 26,2208
86,Sep 25,1881
87,Sep 24,1661
88,Sep 23,1834
89,Sep 22,1097
90,Sep 21,1547
91,Sep 20,1099
92,Sep 19,1673
93,Sep 18,2028
94,Sep 17,1153
95,Sep 16,489
96,Sep 15,851
97,Sep 14,977
98,Sep 13,941
99,Sep 12,969
100,Sep 11,1284
101,Sep 10,1143
102,Sep 9,1024
103,Sep 8,871
104,Sep 7,918
105,Sep 6,155
106,Sep 5,322
107,Sep 4,728
108,Sep 3,677
109,Sep 2,575
110,Sep 1,565
111,Aug 31,634
112,Aug 30,117
113,Aug 29,195
114,Aug 28,614
115,Aug 27,535
116,Aug 26,524
117,Aug 25,527
118,Aug 24,608
119,Aug 23,115
120,Aug 22,203
121,Aug 21,510
122,Aug 20,579
123,Aug 19,615
124,Aug 18,727
125,Aug 17,707
126,Aug 16,134
127,Aug 15,163
128,Aug 14,587
129,Aug 13,669
130,Aug 12,611
131,Aug 11,717
132,Aug 10,873
133,Aug 9,121
134,Aug 8,303
135,Aug 7,774
136,Aug 6,768
137,Aug 5,765
138,Aug 4,812
139,Aug 3,794
140,Aug 2,148
141,Aug 1,307
142,Jul 31,677
143,Jul 30,634
144,Jul 29,688
145,Jul 28,687
146,Jul 27,593
147,Jul 26,187
148,Jul 25,230
149,Jul 24,496
150,Jul 23,438
151,Jul 22,553
152,Jul 21,144
153,Jul 20,443
154,Jul 19,65
155,Jul 18,129
156,Jul 17,274
157,Jul 16,223
158,Jul 15,260
159,Jul 14,207
160,Jul 13,225
161,Jul 12,43
162,Jul 11,62
163,Jul 10,127
164,Jul 9,123
165,Jul 8,137
166,Jul 7,101
167,Jul 6,113
168,Jul 5,24
169,Jul 4,61
170,Jul 3,94
171,Jul 2,91
172,Jul 1,124
173,Jun 30,100
174,Jun 29,127
175,Jun 28,28
176,Jun 27,40
177,Jun 26,112
178,Jun 25,75
179,Jun 24,100
180,Jun 23,109
181,Jun 22,144
182,Jun 21,19
183,Jun 20,49
184,Jun 19,120
185,Jun 18,104
186,Jun 17,89
187,Jun 16,55
188,Jun 15,71
189,Jun 14,111
190,Jun 13,99
191,Jun 12,108
192,Jun 11,142
193,Jun 10,132
194,Jun 9,89
195,Jun 8,122
196,Jun 7,154
197,Jun 6,165
198,Jun 5,140
199,Jun 4,82
200,Jun 3,70
201,Jun 2,98
202,Jun 1,136
203,May 31,195
204,May 30,125
205,May 29,212
206,May 28,257
207,May 27,137
208,May 26,198
209,May 25,250
210,May 24,282
211,May 23,299
212,May 22,276
213,May 21,252
214,May 20,192
215,May 19,232
216,May 18,279
217,May 17,291
218,May 16,345
219,May 15,356
220,May 14,307
221,May 13,202
222,May 12,330
223,May 11,368
224,May 10,485
225,May 9,585
226,May 8,591
227,May 7,639
228,May 6,272
229,May 5,242
230,May 4,361
231,May 3,389
232,May 2,485
233,May 1,513
234,Apr 30,660
235,Apr 29,525
236,Apr 28,647
237,Apr 27,553
238,Apr 26,809
239,Apr 25,1032
240,Apr 24,1496
241,Apr 23,908
242,Apr 22,933
243,Apr 21,973
244,Apr 20,1487
245,Apr 19,1313
246,Apr 18,1045
247,Apr 17,1329
248,Apr 16,1236
249,Apr 15,2454
250,Apr 14,530
251,Apr 13,942
252,Apr 12,1629
253,Apr 11,1351
254,Apr 10,2336
255,Apr 9,2239
256,Apr 8,1598
257,Apr 7,1515
258,Apr 6,1934
259,Apr 5,666
260,Apr 4,923
261,Apr 3,1694
262,Apr 2,1384
263,Apr 1,1189
264,Mar 31,876
265,Mar 30,1063
266,Mar 29,1702
267,Mar 28,1850
268,Mar 27,1049
269,Mar 26,1298
270,Mar 25,668
271,Mar 24,526
272,Mar 23,342
273,Mar 22,462
274,Mar 21,558
275,Mar 20,462
276,Mar 19,309
277,Mar 18,243
278,Mar 17,185
279,Mar 16,172
280,Mar 15,197
281,Mar 14,133
282,Mar 13,160
283,Mar 12,85
284,Mar 11,47
285,Mar 10,28
286,Mar 9,39
287,Mar 8,31
288,Mar 7,60
289,Mar 6,59
290,Mar 5,27
291,Mar 4,10
292,Mar 3,5
293,Mar 2,6
294,Mar 1,2
295,Feb 2,1
