,Quarter,Balance in billion U.S. dollars
0,Q3 '19,-157.36
1,Q2 '19,-159.11
2,Q1 '19,-156.47
3,Q4 '18,-171.15
4,Q3 '18,-163.42
5,Q2 '18,-140.0
6,Q1 '18,-153.11
7,Q4 '17,-144.97
8,Q3 '17,-131.42
9,Q2 '17,-139.68
10,Q1 '17,-134.05
11,Q4 '16,-132.11
12,Q3 '16,-122.09
13,Q2 '16,-123.15
14,Q1 '16,-125.63
15,Q4 '15,-123.24
16,Q3 '15,-127.45
17,Q2 '15,-122.09
18,Q1 '15,-125.74
19,Q4 '14,-124.21
20,Q3 '14,-120.23
21,Q2 '14,-124.6
22,Q1 '14,-120.55
23,Q4 '13,-107.48
24,Q3 '13,-117.43
25,Q2 '13,-117.17
26,Q1 '13,-119.07
27,Q4 '12,-127.86
28,Q3 '12,-127.98
29,Q2 '12,-136.73
30,Q1 '12,-144.84
31,Q4 '11,-141.15
32,Q3 '11,-134.67
33,Q2 '11,-138.84
34,Q1 '11,-135.04
35,Q4 '10,-118.59
36,Q3 '10,-129.56
37,Q2 '10,-128.81
38,Q1 '10,-118.27
