,Year,Inflation rate compared to previous year
0,2024*,1.7%
1,2023*,1.5%
2,2022*,1.4%
3,2021*,1.33%
4,2020*,1.24%
5,2019*,0.9%
6,2018,1.17%
7,2017,1.56%
8,2016,0.64%
9,2015,0.51%
10,2014,-0.16%
11,2013,0.44%
12,2012,2.78%
13,2011,3.55%
14,2010,1.36%
15,2009,-0.9%
16,2008,2.65%
17,2007,2.42%
18,2006,3.05%
19,2005,2.13%
20,2004,2.51%
21,2003,2.34%
22,2002,3.7%
23,2001,4.41%
24,2000,2.81%
25,1999,2.17%
26,1998,2.22%
27,1997,1.89%
28,1996,2.94%
29,1995,3.97%
30,1994,4.97%
31,1993,5.93%
32,1992,8.86%
33,1991,11.43%
34,1990,13.37%
35,1989,12.61%
36,1988,9.58%
37,1987,9.4%
38,1986,11.67%
39,1985,19.34%
40,1984,29.3%
