,Year,Inflation rate compared to previous year
0,2025*,2.37%
1,2024*,2.35%
2,2023*,2.19%
3,2022*,2.09%
4,2021*,2.03%
5,2020*,1.48%
6,2019*,-1.88%
7,2018*,0.56%
8,2017,0.36%
9,2016,1.92%
10,2015,0.57%
11,2014,2.1%
12,2013,-1.49%
13,2012,-3.05%
14,2011,1.5%
15,2010,-3.9%
16,2009,9.82%
17,2008,13.67%
18,2007,3.59%
19,2006,-1%
20,2005,-0.35%
21,2004,-0.74%
22,2003,1.63%
23,2002,3.18%
24,2001,6%
25,2000,0.38%
26,1999,1.76%
27,1998,3.67%
28,1997,2.55%
29,1996,-1.67%
30,1995,4.1%
31,1994,4%
32,1993,6.11%
33,1992,4.22%
34,1991,6.08%
35,1990,3.95%
36,1989,5.61%
37,1988,1.14%
38,1987,-10.21%
39,1986,6.61%
40,1985,4.49%
