,State,Index points*
0,Louisiana,4.05
1,Tennessee,3.41
2,Nevada,3.37
3,Florida,3.36
4,Arizona,3.22
5,Missouri,3.21
6,Texas,3.2
7,Arkansas,3.2
8,South Carolina,3.18
9,Mississippi,3.17
10,Alabama,3.17
11,Delaware,3.15
12,Maryland,3.14
13,Oklahoma,3.11
14,Georgia,3.04
15,Illinois,2.89
16,New Mexico,2.85
17,Alaska,2.75
18,California,2.74
19,New York,2.72
20,North Carolina,2.71
21,Michigan,2.69
22,New Jersey,2.63
23,Kansas,2.57
24,Colorado,2.53
25,Virginia,2.48
26,Pennsylvania,2.37
27,Indiana,2.35
28,Ohio,2.33
29,Kentucky,2.32
30,South Dakota,2.32
31,Wisconsin,2.3
32,Montana,2.27
33,Wyoming,2.26
34,Idaho,2.23
35,West Virginia,2.2
36,Connecticut,2.19
37,Oregon,2.07
38,Massachusetts,2.0
39,Nebraska,1.93
40,Iowa,1.87
41,Rhode Island,1.79
42,Washington,1.78
43,Hawaii,1.78
44,North Dakota,1.74
45,Utah,1.72
46,Minnesota,1.61
47,New Hampshire,1.55
48,Vermont,1.55
49,Maine,1.31
