,Country,Number of golf courses
0,England,1888
1,Germany,730
2,France,607
3,Scotland,560
4,Sweden,440
5,Ireland,394
6,Spain,345
7,Netherlands,252
8,Italy,241
9,Denmark,189
10,Austria,160
11,Norway,154
12,Wales,144
13,Finland,125
14,Czech Republic,107
15,Switzerland,99
16,Belgium,77
17,Portugal,76
18,Iceland,62
19,Poland,34
20,Slovakia,27
21,Russia,25
22,Turkey,19
23,Hungary,13
24,Slovenia,12
25,Latvia,9
26,Cyprus,9
27,Estonia,9
28,Greece,7
29,Romania,7
30,Bulgaria,6
31,Lithuania,5
32,Luxembourg,5
33,Ukraine,4
34,Croatia,4
35,Kazakhstan,3
36,Georgia,2
37,Azerbaijan,2
38,Serbia,2
39,Andorra,2
40,Malta,1
41,Armenia,1
42,Israel,1
43,Liechtenstein,0
44,Moldova,0
