,Month,Index of services
0,Jan '19,105.0
1,Dec '17,104.8
2,Nov '17,104.7
3,Oct '17,104.2
4,Sep '17,104.2
5,Aug '17,104.2
6,Jul '17,104.1
7,Jun '17,104.1
8,May '17,103.9
9,Apr '17,103.6
10,Mar '17,103.7
11,Feb '17,103.4
12,Jan '17,103.6
13,Dec '16,103.6
14,Nov '16,103.4
15,Oct '16,103.3
16,Sep '16,103.2
17,Aug '16,102.9
18,Jul '16,102.5
19,Jun '16,102.2
20,May '16,102.0
21,Apr '16,102.0
22,Mar '16,101.6
23,Feb '16,102.0
24,Jan '16,101.5
25,Dec '15,107.6
26,Nov '15,107.0
27,Oct '15,106.5
28,Sep '15,106.4
29,Aug '15,105.8
30,Jul '15,105.9
31,Jun '15,105.9
32,May '15,105.4
33,Apr '15,105.2
34,Mar '15,105.2
35,Feb '15,105.0
36,Jan '15,104.8
37,Dec '14,105.1
38,Nov '14,104.9
39,Oct '14,104.8
40,Sep '14,104.1
41,Aug '14,103.8
42,Jul '14,103.7
