,Cloud Service,2011,2016*
0,Cloud Application platform services (aPaaS),35%,35%
1,Cloud ALM Services (almPaaS),12%,11%
2,Cloud BPM platform services (bpmPaaS),11%,10%
3,Cloud Integration services (iPaaS),11%,14%
4,Cloud Application Security Services,11%,9%
5,Cloud MFT Services,8%,6%
6,Cloud Application Services Governance,4%,3%
7,Cloud Business Analytics Services (baPaaS),3%,4%
8,Cloud MOM Services,2%,2%
9,Cloud Database services (dbPaas),2%,4%
10,Cloud Horizontal Portal Services (Portal PaaS),1%,2%
