,Month,Index (2002-2004 = 100)
0,Mar 20,232
1,Feb 20,228
2,Jan 20,225
3,Dec 19,222
4,Nov 19,222
5,Oct 19,226
6,Sep 19,228
7,Aug 19,228
8,Jul 19,224
9,Jun 19,224
10,May 19,222
11,Apr 19,222
12,Mar 19,222
13,Feb 19,221
14,Jan 19,223
15,Dec 18,216
16,Nov 18,215
17,Oct 18,216
18,Sep 18,222
19,Aug 18,224
20,Jul 18,228
21,Jun 18,235
22,May 18,228
23,Apr 18,229
24,Mar 18,227
25,Feb 18,227
26,Jan 18,224
27,Dec 17,220
28,Nov 17,219
29,Oct 17,216
30,Aug 17,212
31,Sep 17,212
32,Jul 17,210
33,Jun 17,209
34,May 17,202
35,Jul 16,200
36,May 16,199
37,Apr 16,199
38,Jun 16,198
39,Apr 17,198
40,Feb 16,197
41,Mar 17,195
42,Jan 16,195
43,Mar 16,195
44,Aug 16,195
45,Feb 17,194
46,Jan 17,190
47,Sep 16,190
48,Dec 16,187
49,Oct 16,186
50,Nov 16,185
