,Year,Purcashing power of one U.S dollar
0,2020,1.0
1,2019,1.02
2,2018,1.04
3,2017,1.06
4,2016,1.08
5,2015,1.1
6,2014,1.1
7,2013,1.12
8,2012,1.13
9,2011,1.16
10,2010,1.19
11,2009,1.21
12,2008,1.21
13,2007,1.26
14,2006,1.29
15,2005,1.33
16,2004,1.38
17,2003,1.41
18,2002,1.45
19,2001,1.47
20,2000,1.51
21,1999,1.56
22,1998,1.6
23,1997,1.62
24,1996,1.66
25,1995,1.71
26,1994,1.76
27,1993,1.8
28,1992,1.86
29,1991,1.91
30,1990,1.99
31,1989,2.1
32,1988,2.2
33,1987,2.29
34,1986,2.37
35,1985,2.42
36,1984,2.51
37,1983,2.61
38,1982,2.7
39,1981,2.86
40,1980,3.16
41,1979,3.59
42,1978,3.99
43,1977,4.3
44,1976,4.57
45,1975,4.84
46,1974,5.28
47,1973,5.86
48,1972,6.23
49,1971,6.43
50,1970,6.71
51,1969,7.09
52,1968,7.48
53,1967,7.79
54,1966,8.03
55,1965,8.26
56,1964,8.4
57,1963,8.51
58,1962,8.62
59,1961,8.71
60,1960,8.79
61,1959,8.94
62,1958,9.01
63,1957,9.26
64,1956,9.57
65,1955,9.71
66,1954,9.68
67,1953,9.75
68,1952,9.82
69,1951,10.01
70,1950,10.8
71,1949,10.94
72,1948,10.8
73,1947,11.67
74,1946,13.35
75,1945,14.46
76,1944,14.79
77,1943,15.05
78,1942,15.97
79,1941,17.71
80,1940,18.59
81,1939,18.73
82,1938,18.46
83,1937,18.07
84,1936,18.73
85,1935,19.0
86,1934,19.42
87,1933,20.02
88,1932,19.0
89,1931,17.12
90,1930,15.59
91,1929,15.22
92,1928,15.22
93,1927,14.96
94,1926,14.71
95,1925,14.87
96,1924,15.22
97,1923,15.22
98,1922,15.49
99,1921,14.54
100,1920,13.01
101,1919,15.05
102,1918,17.24
103,1917,20.33
104,1916,23.88
105,1915,25.77
106,1914,26.03
107,1913,26.29
108,1912,26.83
109,1911,27.4
110,1910,27.4
111,1909,28.6
112,1908,28.29
113,1907,27.69
114,1906,28.92
115,1905,29.58
116,1904,29.24
117,1903,29.58
118,1902,30.27
119,1901,30.62
120,1900,30.99
121,1899,31.36
122,1898,31.36
123,1897,31.36
124,1896,30.99
125,1895,30.99
126,1894,30.27
127,1893,28.92
128,1892,28.6
129,1891,28.6
130,1890,28.6
131,1889,28.29
132,1888,27.4
133,1887,27.4
134,1886,27.69
135,1885,26.83
136,1884,26.56
137,1883,25.77
138,1882,25.52
139,1881,25.52
140,1880,25.52
141,1879,26.03
142,1878,26.03
143,1877,24.79
144,1876,24.33
145,1875,23.66
146,1874,22.83
147,1873,21.69
148,1872,21.33
149,1871,21.33
150,1870,19.87
151,1869,19.14
152,1868,18.33
153,1867,17.59
154,1866,16.37
155,1865,15.97
156,1864,16.58
157,1863,20.66
158,1862,25.77
159,1861,29.58
160,1860,31.36
161,1859,31.36
162,1858,31.74
163,1857,29.92
164,1856,30.62
165,1855,29.92
166,1854,30.99
167,1853,33.8
168,1852,33.8
169,1851,33.8
170,1850,33.37
171,1849,33.8
172,1848,32.95
173,1847,31.74
174,1846,33.8
175,1845,34.25
176,1844,34.7
177,1843,35.17
178,1842,31.74
179,1841,29.92
180,1840,29.92
181,1839,27.99
182,1838,27.99
183,1837,27.11
184,1836,27.99
185,1835,29.58
186,1834,30.27
187,1833,30.99
188,1832,30.27
189,1831,29.92
190,1830,28.29
191,1829,27.99
192,1828,27.4
193,1827,26.03
194,1826,26.29
195,1825,26.29
196,1824,26.83
197,1823,24.79
198,1822,22.25
199,1821,23.03
200,1820,22.25
201,1819,20.49
202,1818,20.49
203,1817,19.57
204,1816,18.46
205,1815,16.9
206,1814,14.79
207,1813,16.27
208,1812,19.57
209,1811,19.87
210,1810,21.16
211,1809,21.16
212,1808,20.66
213,1807,22.44
214,1806,21.33
215,1805,22.25
216,1804,22.06
217,1803,23.03
218,1802,24.33
219,1801,20.49
220,1800,20.66
221,1799,21.16
222,1798,21.16
223,1797,20.49
224,1796,19.72
225,1795,20.66
226,1794,23.66
227,1793,26.29
228,1792,27.11
229,1791,27.69
230,1790,28.29
231,1789,29.58
232,1788,29.24
233,1787,27.99
234,1786,27.4
235,1785,26.83
236,1784,25.52
237,1783,24.55
238,1782,21.51
239,1781,23.45
240,1780,19.0
241,1779,21.33
242,1778,18.86
243,1777,24.55
244,1776,29.92
245,1775,33.8
246,1774,32.13
247,1773,30.27
248,1772,28.6
249,1771,33.37
250,1770,31.74
251,1769,34.25
252,1768,36.15
253,1767,34.25
254,1766,33.8
255,1765,36.15
256,1764,37.18
257,1763,34.7
258,1762,34.7
259,1761,37.72
260,1760,34.25
261,1759,32.95
262,1758,38.85
263,1757,41.98
264,1756,44.88
265,1755,43.38
266,1754,42.67
267,1753,40.67
268,1752,39.44
269,1751,40.67
270,1750,40.67
271,1749,40.67
272,1748,41.31
273,1747,49.11
274,1746,54.22
275,1745,56.58
276,1744,54.22
277,1743,50.05
278,1742,44.88
279,1741,40.04
280,1740,66.74
281,1739,70.35
282,1738,63.48
283,1737,65.07
284,1736,68.49
285,1735,65.07
286,1734,68.49
287,1733,66.74
288,1732,68.49
289,1731,61.97
290,1730,56.58
291,1729,56.58
292,1728,56.58
293,1727,52.06
294,1726,55.38
295,1725,52.06
296,1724,60.53
297,1723,61.97
298,1722,63.48
299,1721,65.07
300,1720,61.97
301,1719,57.84
302,1718,63.48
303,1717,57.84
304,1716,63.48
305,1715,59.15
306,1714,70.35
307,1713,63.48
308,1712,68.49
309,1711,65.07
310,1710,63.48
311,1709,57.84
312,1708,72.3
313,1707,60.53
314,1706,57.84
315,1705,61.97
316,1704,56.58
317,1703,66.74
318,1702,66.74
