,Month,Price in GBP per twin pack
0,Nov '19,0.67
1,Oct '19,0.61
2,Sep '19,0.61
3,Aug '19,0.55
4,Jul '19,0.55
5,Jun '19,0.57
6,May '19,0.61
7,Apr '19,0.58
8,Mar '19,0.53
9,Feb '19,0.58
10,Jan '19,0.62
11,Dec '18,0.62
12,Nov '18,0.59
13,Oct '18,0.53
14,Sep '18,0.54
15,Aug '18,0.53
16,Jul '18,0.65
17,Jun '18,0.56
18,May '18,0.65
19,Apr '18,0.66
20,Mar '18,0.6
21,Feb '18,0.63
22,Jan '18,0.63
23,Dec '17,0.54
24,Nov '17,0.53
25,Oct '17,0.52
26,Sep '17,0.52
27,Aug '17,0.53
28,Jul '17,0.55
29,Jun '17,0.52
30,May '17,0.53
31,Apr '17,0.61
32,Mar '17,0.66
33,Feb '17,0.83
34,Jan '17,0.65
35,Dec '16,0.53
36,Nov '16,0.52
37,Oct '16,0.53
38,Sep '16,0.53
39,Aug '16,0.53
40,Jul '16,0.51
41,Jun '16,0.52
42,May '16,0.56
43,Apr '16,0.57
44,Mar '16,0.52
45,Feb '16,0.55
46,Jan '16,0.59
47,Dec '15,0.62
48,Nov '15,0.49
49,Oct '15,0.47
50,Sep '15,0.49
51,Aug '15,0.47
52,Jul '15,0.49
53,Jun '15,0.5
54,May '15,0.57
55,Apr '15,0.62
56,Mar '15,0.62
57,Feb '15,0.61
58,Jan '15,0.6
