,Year,Inflation rate compared to previous year
0,2024*,5.9%
1,2023*,7.9%
2,2022*,10.34%
3,2021*,13.33%
4,2020*,17.14%
5,2019*,17.58%
6,2018,12.89%
7,2017,14.74%
8,2016,13.38%
9,2015,7.52%
10,2014,3.94%
11,2013,6.78%
12,2012,6.78%
13,2011,7.39%
14,2010,4.14%
15,2009,3.43%
16,2008,14.38%
17,2007,8.96%
18,2006,14.21%
19,2005,16.76%
20,2004,28.32%
21,2003,26.73%
22,2002,9.36%
23,2001,16.49%
24,2000,11.46%
25,1999,8.13%
26,1998,12.72%
27,1997,16.18%
28,1996,20.58%
29,1995,30.2%
30,1994,42.56%
31,1993,22.56%
32,1992,19.36%
33,1991,15.42%
34,1990,21.28%
35,1989,6.92%
36,1988,4.11%
37,1987,-11.45%
38,1986,3.28%
39,1985,10.65%
40,1984,6.4%
