,Month,Index number of sales per week
0,Nov 20,105.2
1,Oct 20,109.4
2,Sep 20,108.0
3,Aug 20,106.7
4,Jul 20,105.7
5,Jun 20,101.7
6,May 20,89.3
7,Apr 20,79.6
8,Mar 20,97.3
9,Feb 20,102.5
10,Jan 20,103.2
11,Dec 19,102.2
12,Nov 19,102.7
13,Oct 19,103.4
14,Sep 19,103.3
15,Aug 19,103.8
16,Jul 19,104.5
17,Jun 19,103.8
18,May 19,102.8
19,Apr 19,103.3
20,Mar 19,103.9
21,Feb 19,102.8
22,Jan 19,102.5
23,Dec 18,101.7
24,Nov 18,102.2
25,Oct 18,100.3
26,Sep 18,100.6
27,Aug 18,101.2
28,Jul 18,100.9
29,Jun 18,100.1
30,May 18,100.6
31,Apr 18,98.5
32,Mar 18,97.3
33,Feb 18,98.6
34,Jan 18,98.1
35,Dec 17,98.3
36,Nov 17,99.0
37,Oct 17,98.3
38,Sep 17,98.0
39,Aug 17,98.2
40,Jul 17,97.4
41,Jun 17,97.2
42,May 17,96.9
43,Apr 17,97.9
44,Mar 17,96.2
45,Feb 17,97.0
46,Jan 17,96.3
47,Dec 16,96.5
48,Nov 16,97.8
49,Oct 16,98.3
50,Sept 16,96.7
51,Aug 16,96.2
52,Jul 16,96.5
53,Jun 16,94.8
54,May 16,96.1
55,Apr 16,94.5
56,Mar 16,94.0
57,Feb 16,94.0
58,Jan 16,94.4
59,Dec 15,92.8
60,Nov 15,92.6
61,Oct 15,91.7
62,Sep 15,92.9
63,Aug 15,90.7
64,Jul 15,91.7
65,Jun 15,91.8
66,May 15,91.1
67,Apr 15,91.5
68,Mar 15,90.9
69,Feb 15,90.4
70,Jan 15,89.6
