,Year,GDP per capita in U.S. dollars
0,2019*,1388.24
1,2018,1565.43
2,2017,1543.99
3,2016,1439.63
4,2015,1424.95
5,2014,1312.43
6,2013,1266.74
7,2012,1254.17
8,2011,1218.34
9,2010,1031.65
10,2009,998.19
11,2008,1037.61
12,2007,963.28
13,2006,883.24
14,2005,776.77
15,2004,705.72
16,2003,611.43
17,2002,544.37
18,2001,555.23
19,2000,583.32
20,1999,617.58
21,1998,624.16
22,1997,641.57
23,1996,666.46
24,1995,654.03
25,1994,573.82
26,1993,583.71
27,1992,565.91
28,1991,551.24
29,1990,495.99
30,1989,508.69
31,1988,500.31
32,1987,445.07
33,1986,436.97
34,1985,438.24
35,1984,450.31
