,cause of death,Number of deaths
0,Malignant neoplasm of other* and unspecified sites,4821
1,Symptoms and other ill-defined conditions,4132
2,"Bronchitis, emphysema and asthma",3789
3,Mental disorders,3711
4,"Malignant neoplasm of larynx, trachea, bronchus and lung",3483
5,Other forms of heart disease,3322
6,Ischaemic heart disease,3305
7,Cerebrovascular disease,3190
8,Other diseases of the nervous system and sense organs,2573
9,Pneumonia,1911
10,"Malignant neoplasm of intestine, except rectum",1381
11,Diabetes mellitus,1358
12,Malignant neoplasm of prostate,1260
13,All other accidents,1221
14,Leukaemia and other neopl. of lymph. and haemato tissue,1145
15,Infective and parasitic diseases (except tuberculosis),1068
16,Malignant neoplasm of breast,1044
17,Hypertensive disease,1022
18,Senility without mention of psychosis,1008
19,Other diseases of digestive system,978
