,business school,Median salary
0,Harvard University - Harvard Business School,127236
1,University of Pennsylvania - The Wharton School,123431
2,University of Chicago - Booth School of Business,119104
3,Columbia University - Columbia Business School,118179
4,Northwestern University - Kellogg School of Management,118175
5,"University of Michigan, Ann Arbor - Ross School of Business",115309
6,Duke University - Fuqua School of Business,114109
7,University of Virginia - Darden School of Business,112194
8,"University of California, Berkeley - Haas School of Business",112013
9,Cornell University - Johnson Graduate School of Management,111000
10,"University of California, Los Angeles - Anderson School of Management",110265
11,Carnegie Mellon University - Tepper School of Business,109982
12,Yale University - Yale School of Managment,109872
13,Emory University - Goizueta Business School,107220
14,"University of North Carolina, Chapel Hill - Kenan-Flagler Business School",104286
15,Indiana University - Kelley School of Business,103747
16,University of Maryland - Smith School of Business,92781
