,leading newspaper,Circulation in thousands
0,Trinity Mirror plc,8533.44
1,Newsquest Media Group,5434.47
2,Local World,4697.2
3,Johnston Press plc,4362.91
4,Associated Newspapers Ltd,3871.53
5,Evening Standard Ltd,3454.45
6,The Midland News Association Ltd,1987.18
7,ARCHANT,1463.94
8,D.C. Thomson & Co Ltd,1357.61
9,Tindle Newspapers Ltd,981.07
10,City AM,645.61
11,Independent News & Media,446.34
12,Romanes Media Group,398.94
13,NWN Media Ltd,398.19
14,Bullivant Media Ltd,305.3
15,CN Group Ltd,297.91
16,Irish News Ltd,245.5
17,KM Group,244.91
18,Guiton Group,189.14
19,Champion Newspapers,163.14
