,Year,GDP per capita in U.S. dollars
0,2025*,18653.25
1,2024*,18269.55
2,2023*,17892.68
3,2022*,17450.39
4,2021*,16621.96
5,2020*,16197.2
6,2019*,17276.43
7,2018,17130.24
8,2017,16238.27
9,2016,16182.78
10,2015,18289.53
11,2014,20286.55
12,2013,20173.25
13,2012,19208.07
14,2011,19320.96
15,2010,16958.0
16,2009,14801.21
17,2008,21464.21
18,2007,16807.87
19,2006,14273.56
20,2005,12467.75
21,2004,10438.77
22,2003,8927.64
23,2002,7159.0
24,2001,7042.21
25,2000,6541.69
26,1999,5475.18
27,1998,4869.37
28,1997,4629.73
29,1996,4655.85
30,1995,4319.5
31,1994,4024.88
32,1993,3741.17
33,1992,4471.24
34,1991,4390.02
35,1990,4219.12
36,1989,3623.43
37,1988,3796.41
38,1987,4083.15
39,1986,4118.85
40,1985,6407.75
