,Quarter,Surplus in trillion U.S. dollars
0,Q3 '20,-3.78
1,Q2 '20,-5.36
2,Q1 '20,-1.56
3,Q4 '19,-1.47
4,Q3 '19,-1.48
5,Q2 '19,-1.38
6,Q1 '19,-1.38
7,Q4 '18,-1.33
8,Q3 '18,-1.27
9,Q2 '18,-1.32
10,Q1 '18,-1.22
11,Q4 '17,-0.1
12,Q3 '17,-1.13
13,Q2 '17,-1.09
14,Q1 '17,-1.04
15,Q4 '16,-1.02
16,Q3 '16,-1.02
17,Q2 '16,-0.98
18,Q1 '16,-1.01
19,Q4 '15,-0.8
20,Q3 '15,-0.93
21,Q2 '15,-0.76
22,Q1 '15,-0.9
23,Q4 '14,-0.94
24,Q3 '14,-0.94
25,Q2 '14,-0.9
26,Q1 '14,-0.9
27,Q4 '13,-0.89
28,Q3 '13,-1.07
29,Q2 '13,-0.88
30,Q1 '13,-1.14
31,Q4 '12,-1.46
32,Q3 '12,-1.48
33,Q2 '12,-1.53
34,Q1 '12,-1.56
35,Q4 '11,-1.7
36,Q3 '11,-1.7
37,Q2 '11,-1.77
38,Q1 '11,-1.74
39,Q4 '10,-1.78
40,Q3 '10,-1.81
41,Q2 '10,-1.96
42,Q1 '10,-1.97
43,Q4 '09,-1.92
44,Q3 '09,-1.95
45,Q2 '09,-1.99
46,Q1 '09,-1.79
