,Year,Average crude oil price in U.S. dollars per barrel
0,2020*,41.01
1,2019,64.3
2,2018,71.34
3,2017,54.25
4,2016,43.67
5,2015,52.32
6,2014,98.97
7,2013,108.56
8,2012,111.63
9,2011,111.26
10,2010,79.47
11,2009,61.51
12,2008,96.99
13,2007,72.52
14,2006,65.14
15,2005,54.38
16,2004,38.1
17,2003,28.83
18,2002,25.01
19,2001,24.45
20,2000,28.4
21,1999,17.9
22,1998,12.8
23,1997,19.1
24,1996,20.8
25,1995,17.2
26,1994,16.0
27,1993,17.1
28,1992,19.4
29,1991,20.1
30,1990,23.8
31,1989,18.2
32,1988,15.0
33,1987,18.4
34,1986,14.4
35,1985,27.5
36,1984,28.7
37,1983,29.6
38,1982,33.0
39,1981,35.9
40,1980,36.8
41,1979,31.6
42,1978,14.0
43,1977,13.9
44,1976,12.8
