,Year,Gross domestic product in billion international dollars
0,2021*,7.07
1,2020*,6.59
2,2019*,6.91
3,2018,6.71
4,2017,6.53
5,2016,6.47
6,2015,6.19
7,2014,5.94
8,2013,5.67
9,2012,5.36
10,2011,4.96
11,2010,4.6
12,2009,4.27
13,2008,4.11
14,2007,3.72
15,2006,3.45
16,2005,3.21
17,2004,3.02
18,2003,2.87
19,2002,2.71
20,2001,2.62
21,2000,2.48
22,1999,2.32
23,1998,2.25
24,1997,2.19
25,1996,2.08
26,1995,1.95
27,1994,1.86
28,1993,1.74
29,1992,1.64
30,1991,1.51
31,1990,1.39
32,1989,1.28
33,1988,1.16
34,1987,1.04
35,1986,1.0
36,1985,0.94
37,1984,0.88
