,Year,Fertility rate
0,2020,1.59
1,2015,1.43
2,2010,1.36
3,2005,1.35
4,2000,1.35
5,1995,1.3
6,1990,1.43
7,1985,1.46
8,1980,1.51
9,1975,1.71
10,1970,2.36
11,1965,2.47
12,1960,2.27
13,1955,2.13
14,1950,2.07
15,1945,1.9
16,1940,2.24
17,1935,1.77
18,1930,1.98
19,1925,2.46
20,1920,2.45
21,1915,3.47
22,1910,4.29
23,1905,4.75
24,1900,5.02
25,1895,5.15
26,1890,5.22
27,1885,5.24
28,1880,5.22
29,1875,5.35
30,1870,5.13
31,1865,5.0
32,1860,4.67
33,1855,4.6
34,1850,5.01
35,1845,4.97
36,1840,4.9
37,1835,4.85
38,1830,4.97
39,1825,5.31
40,1820,5.34
41,1815,5.34
42,1810,5.36
43,1805,5.39
44,1800,5.4
