,Year,Gross domestic product in billion international dollars
0,2021*,210.7
1,2020*,198.73
2,2019*,199.4
3,2018,186.52
4,2017,170.15
5,2016,159.47
6,2015,147.54
7,2014,137.09
8,2013,125.55
9,2012,119.15
10,2011,113.64
11,2010,107.28
12,2009,97.62
13,2008,98.14
14,2007,91.12
15,2006,83.76
16,2005,74.47
17,2004,66.0
18,2003,62.66
19,2002,62.35
20,2001,58.74
21,2000,56.1
22,1999,52.43
23,1998,48.79
24,1997,45.21
25,1996,40.82
26,1995,37.82
27,1994,35.05
28,1993,33.45
29,1992,30.43
30,1991,26.75
31,1990,25.64
32,1989,26.14
33,1988,24.09
34,1987,22.78
35,1986,20.19
36,1985,19.12
37,1984,18.93
