,Year,Inflation rate compared to previous year
0,2025*,5%
1,2024*,5.5%
2,2023*,7.5%
3,2022*,7.7%
4,2021*,12.1%
5,2020*,11.5%
6,2019,4.71%
7,2018,29.27%
8,2017,35.79%
9,2016,3.15%
10,2015,0.74%
11,2014,1.24%
12,2013,0.88%
13,2012,0.86%
14,2011,14.95%
15,2010,23.46%
16,2009,46.1%
17,2008,17.97%
18,2007,16.67%
19,2006,12.85%
20,2005,21.55%
21,2004,4%
22,2003,12.82%
23,2002,25.32%
24,2001,357.28%
25,2000,550%
26,1999,284.9%
27,1998,29.15%
28,1997,199%
29,1996,617%
30,1995,541.8%
31,1994,"23,773.1%"
32,1993,"1,986.9%"
33,1992,"4,129.17%"
34,1991,"2,154.44%"
35,1990,81.3%
36,1989,104.07%
37,1988,82.75%
38,1987,90.37%
39,1986,46.73%
40,1985,23.46%
