,Quarter,Number of users in millions
0,Q4 '19,2498
1,Q3 '19,2449
2,Q2 '19,2414
3,Q1 '19,2375
4,Q4 '18,2320
5,Q3 '18,2271
6,Q2 '18,2234
7,Q1 '18,2196
8,Q4 '17,2129
9,Q3 '17,2072
10,Q2 '17,2006
11,Q1 '17,1936
12,Q4 '16,1860
13,Q3 '16,1788
14,Q2 '16,1712
15,Q1 '16,1654
16,Q4 '15,1591
17,Q3 '15,1545
18,Q2 '15,1490
19,Q1 '15,1441
20,Q4 '14,1393
21,Q3 '14,1350
22,Q2 '14,1317
23,Q1 '14,1276
24,Q4 '13,1228
25,Q3 '13,1189
26,Q2 '13,1155
27,Q1 '13,1110
28,Q4 '12,1056
29,Q3 '12,1007
30,Q2 '12,955
31,Q1 '12,901
32,Q4 '11,845
33,Q3 '11,800
34,Q2 '11,739
35,Q1 '11,680
36,Q4 '10,608
37,Q3 '10,550
38,Q2 '10,482
39,Q1 '10,431
40,Q4 '09,360
41,Q3 '09,305
42,Q2 '09,242
43,Q1 '09,197
44,Q3 '08,100
