,Year,GDP per capita in U.S. dollars
0,2025*,37477.78
1,2024*,36409.5
2,2023*,34919.32
3,2022*,33208.72
4,2021*,31178.18
5,2020*,26831.63
6,2019,29993.06
7,2018,30579.15
8,2017,28272.99
9,2016,26564.63
10,2015,25764.22
11,2014,29686.72
12,2013,29237.72
13,2012,28583.74
14,2011,31868.86
15,2010,30803.47
16,2009,32412.77
17,2008,35725.35
18,2007,32748.09
19,2006,28530.04
20,2005,26547.91
21,2004,24981.31
22,2003,21528.29
23,2002,17075.47
24,2001,15365.8
25,2000,14721.7
26,1999,15774.44
27,1998,15418.91
28,1997,14746.42
29,1996,16055.97
30,1995,15437.36
31,1994,13386.46
32,1993,13376.56
33,1992,15973.58
34,1991,14661.18
35,1990,13649.28
36,1989,10540.02
37,1988,9574.95
38,1987,8167.06
39,1986,6461.29
40,1985,4683.16
